ip address,dnsname,mac,user agent,email address
104.175.156.144,gov,2C-0B-C7-D8-63-92,"Mozilla/5.0 (Windows NT 6.4; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2225.0 Safari/537.36",kduckerinn0@fastcompany.com
104.198.11.157,mil,17-E2-2B-3B-6D-C0,"Mozilla/5.0 (Windows NT 6.2) AppleWebKit/536.3 (KHTML, like Gecko) Chrome/19.0.1062.0 Safari/536.3",cradish85@sciencedaily.com
105.112.39.59,com,86-83-81-75-6B-D4,"Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.14 (KHTML, like Gecko) Chrome/24.0.1292.0 Safari/537.14",fbloxsomecg@123-reg.co.uk
105.135.188.115,net,D5-24-4A-9F-34-C3,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_6_3; HTC-P715a; en-ca) AppleWebKit/533.16 (KHTML, like Gecko) Version/5.0 Safari/533.16",sremingtonjf@macromedia.com
106.116.162.87,mil,42-90-DE-DF-D3-2C,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_3) AppleWebKit/535.22 (KHTML, like Gecko) Chrome/19.0.1047.0 Safari/535.22",clindwasser23@seattletimes.com
106.151.227.122,edu,FB-B3-3A-0A-4C-D3,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/14.0.811.0 Safari/535.1",niddyi4@newsvine.com
106.241.165.206,net,DC-D3-59-52-73-1A,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/535.11 (KHTML, like Gecko) Chrome/17.0.963.66 Safari/535.11",ftewkesburyd2@devhub.com
106.31.215.173,gov,1D-15-8B-AE-6F-26,"Mozilla/5.0 (iPad; CPU OS 5_1 like Mac OS X) AppleWebKit/534.46 (KHTML, like Gecko ) Version/5.1 Mobile/9B176 Safari/7534.48.3",mdelouchl4@discuz.net
106.58.34.220,gov,FF-88-39-04-3D-B8,"Mozilla/5.0 (Windows NT 5.1) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/13.0.782.41 Safari/535.1",elukockfr@auda.org.au
108.130.230.212,mil,60-C0-47-1F-E9-58,Mozilla/5.0 (Windows NT 5.1; rv:21.0) Gecko/20100101 Firefox/21.0,dmacdonellen@hexun.com
108.134.252.94,edu,E2-3D-E6-95-DA-89,Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:16.0.1) Gecko/20121011 Firefox/21.0.1,odyzartos@forbes.com
108.146.103.135,net,9D-4D-1D-B9-81-BB,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/13.0.782.24 Safari/535.1",broselli92@hatena.ne.jp
108.156.24.23,info,B5-E6-78-9C-76-E4,"Mozilla/5.0 (X11; U; Linux armv7l; en-US) AppleWebKit/534.16 (KHTML, like Gecko) Chrome/10.0.648.204 Safari/534.16",rohederscollfe@usgs.gov
108.180.22.1,mil,B6-CA-99-F9-33-D6,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_2) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/13.0.782.107 Safari/535.1",aduigenanlb@toplist.cz
108.26.15.78,gov,8D-FE-98-D1-CD-B0,"Mozilla/5.0 ArchLinux (X11; U; Linux x86_64; en-US) AppleWebKit/534.30 (KHTML, like Gecko) Chrome/12.0.742.100",aramsden38@gnu.org
108.75.83.123,org,BD-D4-F4-C7-6D-07,Mozilla/5.0 (X11; Ubuntu; Linux i686; rv:15.0) Gecko/20100101 Firefox/15.0.1,hnicheg7@abc.net.au
109.111.36.51,mil,95-33-06-80-A9-98,"Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.6 Safari/537.11",kgloyens4z@dropbox.com
109.201.17.72,biz,4E-C6-97-3F-19-B9,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/536.3 (KHTML, like Gecko) Chrome/19.0.1063.0 Safari/536.3",ihaggish95@163.com
109.3.1.88,name,AD-4E-A1-7F-91-FD,Mozilla/5.0 (X11; U; Linux i686; en-US; rv:1.9.1.16) Gecko/20120421 Firefox/11.0,tseviour73@mediafire.com
11.102.37.74,net,48-3F-F2-1B-4A-6A,"Mozilla/5.0 (Windows NT 5.1) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/14.0.815.0 Safari/535.1",dandreuzzi3g@theatlantic.com
11.169.97.206,mil,1A-59-19-86-37-14,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_5_8) AppleWebKit/534.31 (KHTML, like Gecko) Chrome/13.0.748.0 Safari/534.31",crenhard4a@sitemeter.com
11.18.110.188,org,8D-EF-17-11-45-D6,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.13 (KHTML, like Gecko) Chrome/24.0.1284.0 Safari/537.13",ehanveyd9@loc.gov
11.243.122.130,gov,F9-A7-F6-89-CC-1E,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/534.24 (KHTML, like Gecko) Ubuntu/10.04 Chromium/11.0.696.0 Chrome/11.0.696.0 Safari/534.24",pmcnair1m@cocolog-nifty.com
11.33.131.89,name,88-D5-6B-16-12-BC,Mozilla/5.0 (Windows NT 6.2; Win64; x64; rv:27.0) Gecko/20121011 Firefox/27.0,cradin4o@cbc.ca
110.103.84.185,net,E6-92-9F-FF-63-9B,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/535.11 (KHTML, like Gecko) Chrome/17.0.963.65 Safari/535.11",dgounetec@gravatar.com
110.168.2.60,mil,D1-79-65-B6-4D-A7,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_7) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/14.0.790.0 Safari/535.1",thamblettqk@hc360.com
110.244.0.72,biz,13-53-13-BB-9A-AB,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/14.0.810.0 Safari/535.1",pyeardleyal@google.nl
111.204.178.253,info,95-CA-9B-F0-8C-1F,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/535.19 (KHTML, like Gecko) Chrome/18.0.1025.166 Safari/535.19",lhulksrg@marriott.com
111.211.47.174,org,FE-83-C6-F0-56-3B,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_2) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/13.0.782.215 Safari/535.1",skarimm8@sohu.com
111.250.85.200,gov,64-2A-DE-5F-A6-D5,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_2) AppleWebKit/537.17 (KHTML, like Gecko) Chrome/24.0.1309.0 Safari/537.17",ddanielovitchfw@addtoany.com
111.31.85.181,net,57-9B-5D-58-22-8D,Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:23.0) Gecko/20131011 Firefox/23.0,btydd6i@independent.co.uk
111.54.216.224,info,C9-43-1B-CF-2E-02,Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.9.1.16) Gecko/20120427 Firefox/15.0a1,mbedboroughoz@google.com.au
111.93.149.130,biz,F9-C9-1F-E7-DB-84,Mozilla/5.0 (Windows NT 5.0; rv:21.0) Gecko/20100101 Firefox/21.0,bpercypy@businesswire.com
112.190.250.202,info,06-52-68-85-D5-11,"Mozilla/5.0 (Windows; U; Windows NT 6.1; sv-SE) AppleWebKit/533.19.4 (KHTML, like Gecko) Version/5.0.3 Safari/533.19.4",plarnenu@accuweather.com
112.220.126.119,gov,21-E3-5B-C4-AF-25,"Mozilla/5.0 (iPhone; U; CPU iPhone OS 4_2_1 like Mac OS X; nb-no) AppleWebKit/533.17.9 (KHTML, like Gecko) Version/5.0.2 Mobile/8C148a Safari/6533.18.5",gmardlin66@nymag.com
113.114.145.179,com,B7-DF-18-21-2D-7E,"Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US) AppleWebKit/533.20.25 (KHTML, like Gecko) Version/5.0.3 Safari/533.19.4",acarmemx@reuters.com
113.237.11.248,com,69-15-51-E7-59-97,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_6_2; nb-no) AppleWebKit/533.16 (KHTML, like Gecko) Version/4.1 Safari/533.16",ntriggel4@blogtalkradio.com
113.5.232.110,name,48-60-87-AC-4B-F4,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/535.21 (KHTML, like Gecko) Chrome/19.0.1042.0 Safari/535.21",craithbye2@networksolutions.com
114.153.247.70,mil,8F-94-20-EB-82-DC,Googlebot/2.1 (+http://www.google.com/bot.html),jfoffano1p@earthlink.net
114.33.189.232,gov,79-0A-D1-FF-A3-98,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/534.23 (KHTML, like Gecko) Chrome/11.0.686.3 Safari/534.23",kkupkerd@ycombinator.com
115.122.15.93,biz,80-81-51-01-1F-57,"Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10.5; en-US; rv:1.9.1b3pre) Gecko/20081212 Mozilla/5.0 (Windows; U; Windows NT 5.1; en) AppleWebKit/526.9 (KHTML, like Gecko) Version/4.0dp1 Safari/526.8",cmandersg9@goo.ne.jp
116.15.53.210,mil,45-87-96-97-E4-6F,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1623.0 Safari/537.36",fmcvittyiy@squarespace.com
116.155.205.45,net,15-F3-07-B0-A2-AE,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/534.24 (KHTML, like Gecko) Ubuntu/10.10 Chromium/12.0.703.0 Chrome/12.0.703.0 Safari/534.24",acowsbymd@princeton.edu
116.156.253.68,org,05-4E-65-C4-E3-35,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/534.36 (KHTML, like Gecko) Chrome/13.0.766.0 Safari/534.36",dbinnellnr@sciencedirect.com
116.211.59.192,net,9A-C8-CE-3F-F9-BE,Mozilla/6.0 (Macintosh; I; Intel Mac OS X 11_7_9; de-LI; rv:1.9b4) Gecko/2012010317 Firefox/10.0a4,civashinnikov2b@ft.com
116.65.207.123,com,1B-3C-D9-3A-76-E2,"Mozilla/5.0 (Windows; U; Windows NT 5.1; en) AppleWebKit/526.9 (KHTML, like Gecko) Version/4.0dp1 Safari/526.8",rneave7y@amazon.co.uk
117.254.126.116,name,91-8E-E6-FD-CA-1F,Mozilla/5.0 (Windows NT 6.2; Win64; x64; rv:27.0) Gecko/20121011 Firefox/27.0,dtimebyoe@tinyurl.com
118.162.164.182,gov,08-89-40-87-C5-20,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_2) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/14.0.834.0 Safari/535.1",edukesny@edublogs.org
118.197.155.70,mil,3E-B4-22-65-33-1D,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_2) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/14.0.834.0 Safari/535.1",sfernanandoff@comsenz.com
118.209.253.247,org,A0-D7-C3-70-4F-56,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_5_8; zh-tw) AppleWebKit/533.16 (KHTML, like Gecko) Version/5.0 Safari/533.16",mshoebottoml6@zdnet.com
118.233.54.12,biz,DF-A5-77-83-FA-FE,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/13.0.782.41 Safari/535.1",chartnessn5@patch.com
118.24.66.191,net,29-CB-FA-A1-23-C1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_2) AppleWebKit/535.24 (KHTML, like Gecko) Chrome/19.0.1055.1 Safari/535.24",lmeadows52@dell.com
118.55.44.135,biz,37-36-CC-39-45-ED,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/535.11 (KHTML, like Gecko) Ubuntu/11.04 Chromium/17.0.963.65 Chrome/17.0.963.65 Safari/535.11",rarchibald1n@tiny.cc
119.190.145.77,org,59-B0-13-D7-9D-72,"Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.93 Safari/537.36",crimes7o@flavors.me
119.198.30.65,net,E0-33-31-DE-D6-1C,"Mozilla/5.0 (Windows NT 6.0) AppleWebKit/535.2 (KHTML, like Gecko) Chrome/15.0.874.120 Safari/535.2",cmachinb0@github.com
119.222.154.121,mil,A4-3A-C7-3B-1E-06,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.47 Safari/537.36",acullingford5m@lulu.com
119.228.202.26,com,77-C9-4B-53-08-14,Mozilla/5.0 (Windows NT 6.1; rv:14.0) Gecko/20100101 Firefox/18.0.1,tsivemi@friendfeed.com
119.37.241.137,com,7C-7A-E3-53-BF-8A,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_3) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/13.0.782.32 Safari/535.1",dgareat@naver.com
12.110.173.184,edu,B8-01-8A-7C-40-8F,Mozilla/5.0 (Windows NT 6.1; rv:12.0) Gecko/ 20120405 Firefox/14.0.1,kuphamed@ftc.gov
12.167.136.206,com,1C-E7-43-D0-90-6C,Mozilla/5.0 (Windows NT 6.1; rv:22.0) Gecko/20130405 Firefox/22.0,ndarby9z@japanpost.jp
12.179.161.196,biz,0B-DD-6B-2F-D2-92,"Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US) AppleWebKit/534.18 (KHTML, like Gecko) Chrome/11.0.661.0 Safari/534.18",tpudgez@virginia.edu
12.5.147.208,biz,E1-6A-BF-5A-99-06,"Mozilla/5.0 (X11; CrOS i686 0.13.507) AppleWebKit/534.35 (KHTML, like Gecko) Chrome/13.0.763.0 Safari/534.35",randrezc4@blogger.com
12.75.116.126,mil,EC-31-59-20-DB-6B,"Mozilla/5.0 (X11; CrOS i686 0.13.507) AppleWebKit/534.35 (KHTML, like Gecko) Chrome/13.0.763.0 Safari/534.35",acronchey1a@stumbleupon.com
12.81.105.1,info,FE-77-C0-F0-73-2F,Mozilla/5.0 (X11; U; Linux i686; en-US; rv:1.9.1.16) Gecko/20120421 Firefox/11.0,gjosephson1e@ebay.co.uk
120.130.181.59,mil,53-C4-0D-98-21-6B,"Mozilla/5.0 (Windows; U; Windows NT 5.1; ja-JP) AppleWebKit/533.20.25 (KHTML, like Gecko) Version/5.0.3 Safari/533.19.4",pwornham4v@tripod.com
120.166.106.223,org,EC-23-B7-E8-80-E2,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/535.2 (KHTML, like Gecko) Ubuntu/11.04 Chromium/15.0.871.0 Chrome/15.0.871.0 Safari/535.2",mamer27@goodreads.com
120.249.209.249,edu,9C-CA-E2-A8-48-58,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_6_4; th-th) AppleWebKit/533.17.8 (KHTML, like Gecko) Version/5.0.1 Safari/533.17.8",mstoditcq@mit.edu
120.93.177.138,org,AC-51-23-98-87-8E,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_3) AppleWebKit/534.55.3 (KHTML, like Gecko) Version/5.1.3 Safari/534.53.10",ayouellj3@lycos.com
121.102.42.4,biz,03-EE-DF-14-C4-43,"Mozilla/5.0 (X11; CrOS i686 0.13.507) AppleWebKit/534.35 (KHTML, like Gecko) Chrome/13.0.763.0 Safari/534.35",enafzger3y@google.ca
121.82.157.24,net,20-08-69-9F-66-8F,"Mozilla/5.0 (Windows NT 5.2; WOW64) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/13.0.782.41 Safari/535.1",tcarvilce@tumblr.com
121.85.69.39,edu,2E-53-29-44-F3-86,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/13.0.782.215 Safari/535.1",vpeltz1y@illinois.edu
121.94.220.21,info,A1-19-74-19-84-64,"Mozilla/5.0 (Windows NT 6.1; en-US) AppleWebKit/534.30 (KHTML, like Gecko) Chrome/12.0.750.0 Safari/534.30",ckleingrubj4@delicious.com
122.17.198.174,net,4F-90-7B-D9-1F-18,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.93 Safari/537.36",asteinora4@devhub.com
122.254.20.62,info,94-59-3B-C5-2A-49,Mozilla/5.0 (Windows NT 6.1; U;WOW64; de;rv:11.0) Gecko Firefox/11.0,ttindallmk@reverbnation.com
122.70.135.102,biz,2B-E1-AD-99-CC-25,"Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.116 Safari/537.36 Mozilla/5.0 (iPad; U; CPU OS 3_2 like Mac OS X; en-us) AppleWebKit/531.21.10 (KHTML, like Gecko) Version/4.0.4 Mobile/7B334b Safari/531.21.10",asimms45@usa.gov
123.215.86.233,net,14-90-36-75-02-99,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_0) AppleWebKit/534.30 (KHTML, like Gecko) Chrome/12.0.742.100 Safari/534.30",mjonnb@qq.com
123.246.77.216,info,C0-1D-2A-A7-49-6F,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2227.0 Safari/537.36",etaunton8j@ustream.tv
124.117.166.229,org,EB-83-30-15-63-5D,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/534.33 (KHTML, like Gecko) Ubuntu/9.10 Chromium/13.0.752.0 Chrome/13.0.752.0 Safari/534.33",rfowlebw@sfgate.com
124.200.131.233,gov,B6-20-66-D0-C8-8B,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/534.24 (KHTML, like Gecko) Chrome/11.0.696.71 Safari/534.24",cdarcy43@wix.com
124.210.5.166,name,F2-FC-24-64-62-80,"Mozilla/5.0 (Windows NT 5.1) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/14.0.810.0 Safari/535.1",jpownergq@exblog.jp
124.246.94.165,com,04-5B-7E-07-FC-DF,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.90 Safari/537.36",btwigleygx@dell.com
125.114.4.45,biz,D6-3B-42-D6-00-8A,"Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_5_8; ja-jp) AppleWebKit/533.20.25 (KHTML, like Gecko) Version/5.0.4 Safari/533.20.27",ahorrell87@google.com.au
125.133.157.231,mil,4F-FC-1F-88-EE-65,"Mozilla/5.0 (Windows NT 5.1) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/13.0.782.41 Safari/535.1",bmeneur9a@icio.us
125.171.213.89,gov,34-AE-71-D0-93-A3,"Mozilla/5.0 (Windows; U; Windows NT 6.0; en-US) AppleWebKit/533.20.25 (KHTML, like Gecko) Version/5.0.4 Safari/533.20.27",bgabbitus69@bluehost.com
125.207.208.38,mil,D5-F7-18-96-BC-27,"Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/19.77.34.5 Safari/537.1",lshillamqt@delicious.com
125.212.16.165,org,5D-E9-A6-76-EF-B1,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/534.30 (KHTML, like Gecko) Ubuntu/10.10 Chromium/12.0.742.112 Chrome/12.0.742.112 Safari/534.30",jraingercb@apple.com
125.243.89.61,info,FE-E7-63-AF-B6-28,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_6_3; en-us) AppleWebKit/534.1+ (KHTML, like Gecko) Version/5.0 Safari/533.16",kfalcome@home.pl
125.9.181.226,com,F5-6F-1B-D9-58-B6,"Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_4_11; nl-nl) AppleWebKit/533.16 (KHTML, like Gecko) Version/4.1 Safari/533.16",gdecourt6q@illinois.edu
126.147.218.190,info,55-E8-D6-FE-4C-53,"Mozilla/5.0 (Windows NT 6.1; en-US) AppleWebKit/534.30 (KHTML, like Gecko) Chrome/12.0.750.0 Safari/534.30",bdurante8l@deviantart.com
126.254.116.207,edu,0B-05-CC-55-03-0E,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_6_8; de-at) AppleWebKit/533.21.1 (KHTML, like Gecko) Version/5.0.5 Safari/533.21.1",rmchargdg@webmd.com
127.123.52.219,mil,6F-C9-30-04-06-C6,"Mozilla/5.0 (X11; U; Linux x86_64; en-us) AppleWebKit/531.2+ (KHTML, like Gecko) Version/5.0 Safari/531.2+",codlineh@shop-pro.jp
127.149.22.176,com,15-C6-B5-36-23-C0,"Mozilla/5.0 (Windows NT 5.1) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/13.0.782.20 Safari/535.1",kcaudellld@cyberchimps.com
127.21.160.155,edu,5A-C9-7E-7D-01-3B,Mozilla/5.0 (X11; NetBSD amd64; rv:16.0) Gecko/20121102 Firefox/16.0,mrawstornex@amazon.de
127.241.197.54,mil,E0-83-A5-BE-19-BA,"Mozilla/5.0 (Windows NT 6.0; WOW64) AppleWebKit/535.11 (KHTML, like Gecko) Chrome/17.0.963.56 Safari/535.11",fmclenahan8@geocities.com
